,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600
0,4528,4156,3986,3730,3565,3266,3058,2819,2611,2267,1638,1208,1054,988,857,721,594,89,87,84,84,4,4,4,4,4,4,4,4,4
