,a,b
5830,0.19782568638290032,0.0
5842,0.16978207926115696,7.702158909920987e-06
5851,0.19445048177932334,0.0
5867,0.24615949007199522,0.0018985412188911137
5881,0.24628372178381355,0.00038183095976531946
5892,0.1918238993710692,0.0
5911,0.23441048034934497,0.0009070197597056513
5914,0.17245478202203873,0.0
5929,0.19542740643658074,0.00016581367963823068
5932,0.2181227143437627,0.0
5983,0.2037810340900463,2.1199102298524006e-05
5993,0.2224893273096531,0.0012478343085736837
6006,0.23171889838556506,1.8495574667026667e-06
6028,0.232461458513771,0.0002371104438970802
6030,0.18970879276222788,0.0
6032,0.1814187704890331,0.00037257824143070045
6109,0.20140321914981427,0.0
6135,0.25555820042846944,9.85631356682183e-05
6144,0.2576804915514593,0.0005887811675941531
6167,0.20920534705171676,0.0
6196,0.23783783783783785,0.0002491850242991028
6267,0.21383046526449967,0.0
6271,0.22447102115915363,0.0016540415591145038
6305,0.17930988408992218,0.0
6306,0.24192167290098698,0.0
6353,0.260709082078679,0.0
6364,0.19976183387913068,0.0
6366,0.23970706439224793,5.496149248643594e-05
6399,0.17783667384462482,0.0
6433,0.22460251046025104,0.0
6444,0.23655913978494625,8.797845841783987e-05
6447,0.2082234290147401,0.0
6471,0.22330379799492492,0.0
6480,0.23637164244826067,0.0
6499,0.21237537585060928,0.0
6500,0.22175403808815633,0.0
6517,0.24030799534425643,0.0007181144529096221
6519,0.19653644784534838,0.0
6524,0.17488190258999836,0.0
6526,0.2288150042625746,0.00018937759715728162
6557,0.17852273105191394,0.0
6595,0.20757927300850734,0.0
6597,0.1869406233675779,0.0
6629,0.21069984692075205,0.0
6667,0.26430329886755294,0.0001365963908572391
6669,0.2754374262404433,0.0018367312494155174
6696,0.21675752069452855,0.00037257824143070045
6703,0.2524810686233009,4.948410988015913e-05
6708,0.18830462693373556,0.0
6745,0.2988531343948335,0.015383871078484655
6759,0.2270823638901815,0.0
6766,0.21180555555555555,0.0
6774,0.1921810110267793,0.0
6784,0.18845006143584342,0.0
6791,0.2085551109211702,0.0
6809,0.15922641117669742,0.0
6822,0.25827559661277905,0.0003725782414307004
6825,0.18312694026541126,0.0
6834,0.22801801036445501,0.0
6835,0.23009001285897984,0.0
6836,0.20540292339481137,0.0
6864,0.15054125301475124,0.00037257824143070045
6897,0.18872169877654338,0.0
6901,0.1824919258881523,0.0
6918,0.2354902390875192,0.0
6958,0.20486203869785902,0.00041678644125774214
6959,0.19240143369175627,0.00037257824143070045
6963,0.23466666666666666,0.00021163562449351265
6976,0.2040056245962072,0.0004732654412549142
6981,0.19311436485951722,0.0
7002,0.21880732075164064,5.289566645044762e-06
7022,0.26596640737254124,0.000821271852843292
7025,0.24273117793352927,0.002281796962853376
7034,0.24388914129940936,0.0
7044,0.22791151870250073,0.00010189744105146367
7053,0.18984969053934572,0.001117526463676433
7082,0.2330771568755156,0.00024204778771282453
7091,0.17976625029302434,1.1383809393092369e-05
7101,0.1752988047808765,0.0
7149,0.21821138211382113,0.0
7177,0.22036124794745485,4.2031754848187874e-05
7178,0.17836849975078917,0.0
7183,0.2149607560467724,0.0
7197,0.25802730244183814,0.00012311297917512709
7201,0.18060088147226053,0.0003759297817429945
7255,0.234052757793765,8.327137280132362e-05
7267,0.1555220767180438,0.0
7311,0.21401802089147595,0.0003725782414307005
7313,0.246012832263978,0.0018849624711908093
7331,0.19438710845554952,0.0
7345,0.2155823293172691,0.0
7359,0.2072346832413234,0.0
7374,0.22604960626605466,0.00016753856587509557
7377,0.22105089771042663,1.814997824581415e-05
7391,0.24160590512197316,0.0015296609499008812
7440,0.2275347575449305,0.0005071401473344305
7446,0.290146478568726,0.02311018943449999
7469,0.21142181961402126,0.0
7472,0.19686800894854586,0.0
7508,0.20138055222088835,7.089918961918824e-06
7522,0.21489191353082465,0.0
7544,0.24928020804309464,0.0005781798347501553
7550,0.17141397368757186,0.0
7562,0.1935181513392696,0.0
7571,0.2125519699069491,0.0021465389977981357
7575,0.3057469955003702,0.028136221014165578
7623,0.22864931635217448,3.5754059702184506e-06
7672,0.25680524326651677,0.0
7725,0.20805395139723268,0.0
7727,0.20426956885726244,0.0
7752,0.20896916848333852,0.0
7796,0.2127878859951639,9.200009209266258e-05
7830,0.2136092319936331,0.0
7834,0.18271554511726062,0.0
7857,0.20564686051411715,0.0003822917738656251
7866,0.20702688109838405,8.928537222273769e-06
7871,0.23260247855100094,0.0003997592036157266
7903,0.2695320345450894,0.00266075225129286
7921,0.17783667384462482,0.0
7942,0.20904240819346548,0.0
7956,0.19040862656072643,0.0
7966,0.18974232087943163,0.0
8018,0.1915295964605559,0.0
8043,0.2218915343915344,0.0006043840714512479
8051,0.2221578446384969,8.744495887608072e-06
8066,0.23523225241016651,0.0
8072,0.3022862935015204,0.018735746291259153
8084,0.18175661948940205,0.0
8116,0.2277181521231918,3.1210490971796218e-06
8141,0.24418869126142928,0.00013569767493270182
8146,0.2138645418326693,0.0
8150,0.19388160508541916,0.0
8166,0.20026861662438442,0.0
8169,0.18870843000773396,0.0
8172,0.2705236103411782,0.002890666986190171
8176,0.2320293926950508,0.00011841615114378672
8191,0.21383046526449967,0.0
8199,0.19013211490100237,0.0
8230,0.17597692105953316,0.0
8280,0.23372665128227457,0.00030172457929010646
8286,0.20798946104072222,0.0
8293,0.19714999265462024,0.0003725782414307004
8298,0.22102359286861284,5.6901637026888565e-05
8324,0.2371967654986523,0.0006096813021850819
8335,0.24211808217942357,0.00010504557029780286
8342,0.30351690602736625,0.01389019953201272
8360,0.23245139219676958,4.402690236457875e-05
8365,0.14981022549676268,0.0
8374,0.18175661948940205,0.0
