,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600
0,4643,4561,4432,4315,4231,4161,4018,3914,3759,3641,3514,3398,3277,3179,3083,2998,2849,2670,2503,2297,2032,1760,1666,1208,1016,823,638,75,4,4
