,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600
0,4675,4640,4594,4561,4513,4467,4418,4363,4295,4250,4197,4114,4024,3972,3873,3769,3699,3606,3451,3247,3064,2853,2682,2454,2055,1806,1502,1183,4,4
